name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Delhi, DL, India",2023-03-22,30.5,17.6,23.6,28.8,17.6,23.2,11,49.4,0.1,4.8,4.17,rain,0,0,32.8,19.8,342.3,1009.2,2.6,24.1,254,22,9,10,2023-03-22T06:23:22,2023-03-22T18:33:23,0.02,Clear,Clear conditions throughout the day.,clear-day,remote
"Delhi, DL, India",2023-03-23,32.5,20.1,26.5,30.4,20.1,25.6,7.3,31.2,0,4.8,0,,0,0,21.2,15.1,301.6,1007.5,8.9,24.1,256.5,22.2,9,10,2023-03-23T06:22:12,2023-03-23T18:33:57,0.05,Clear,Clear conditions throughout the day.,clear-day,
"Delhi, DL, India",2023-03-24,31.8,19.8,25.7,29.9,19.8,25.2,10.3,40.6,1.1,76.2,20.83,rain,0,0,45,28.8,139.6,1007.6,58.1,23.5,211.4,18.4,9,10,2023-03-24T06:21:02,2023-03-24T18:34:30,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,
"Delhi, DL, India",2023-03-25,30.6,18.9,24.6,28.6,18.9,24.1,9.1,40.9,0.5,76.2,16.67,rain,0,0,29.2,19.1,16,1010,10.1,24.1,254,21.8,9,10,2023-03-25T06:19:53,2023-03-25T18:35:04,0.11,Rain,Clear conditions throughout the day with a chance of rain.,rain,
"Delhi, DL, India",2023-03-26,31.6,19.2,25.4,29.4,19.2,24.6,5.5,30.9,0,4.8,0,,0,0,24.5,16.2,336,1009.5,0.2,24.1,299.9,26,9,10,2023-03-26T06:18:43,2023-03-26T18:35:38,0.15,Clear,Clear conditions throughout the day.,clear-day,
"Delhi, DL, India",2023-03-27,32.8,21.6,27.2,30.5,21.6,26.2,3.6,22.6,0,0,0,,0,0,30.2,14,288.1,1007.9,1.1,24.1,266,23,9,10,2023-03-27T06:17:33,2023-03-27T18:36:11,0.18,Clear,Clear conditions throughout the day.,clear-day,
